Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4NN5_DB00416_uff_E=633.34,-9.6,0,0
4NN5_DB00416_uff_E=633.34,-9.1,2.391,1.734
4NN5_DB01405_uff_E=346.26,-9,0,0
4NN5_DB00416_uff_E=633.34,-8.9,5.965,2.549
4NN5_DB01459_uff_E=699.59,-8.9,0,0
4NN5_DB00685_uff_E=1434.46,-8.8,0,0
4NN5_DB01459_uff_E=699.59,-8.8,2.787,1.376
4NN5_DB11586_uff_E=2949.88,-8.8,0,0
4NN5_DB11586_uff_E=2949.88,-8.8,2.072,1.407
4NN5_DB00416_uff_E=633.34,-8.7,7.141,2.39
4NN5_DB01459_uff_E=699.59,-8.7,4.075,2.219
4NN5_DB00197_uff_E=272.83,-8.6,0,0
4NN5_DB01405_uff_E=380.53,-8.6,0,0
4NN5_DB01459_uff_E=699.59,-8.6,8.597,5.41
4NN5_DB00197_uff_E=272.83,-8.5,8.539,5.691
4NN5_DB00416_uff_E=633.34,-8.5,7.45,2.556
4NN5_DB00416_uff_E=633.34,-8.5,7.792,2.53
4NN5_DB01459_uff_E=699.59,-8.5,4.522,2.176
4NN5_DB05521_uff_E=1496.35,-8.5,0,0
4NN5_DB08949_uff_E=630.70,-8.5,0,0
4NN5_DB09335_uff_E=1510.51,-8.5,0,0
4NN5_DB09335_uff_E=1510.51,-8.5,8,4.168
4NN5_DB11586_uff_E=2949.88,-8.5,2.621,1.67
4NN5_DB00197_uff_E=272.83,-8.4,8.441,5.807
4NN5_DB00197_uff_E=272.83,-8.4,9.068,4.893
4NN5_DB00685_uff_E=1434.46,-8.4,1.863,1.349
4NN5_DB01459_uff_E=699.59,-8.4,4.423,3.149
4NN5_DB01459_uff_E=699.59,-8.4,9.982,3.026
4NN5_DB01459_uff_E=699.59,-8.4,2.983,2.064
4NN5_DB01459_uff_E=699.59,-8.4,8.334,5.23
4NN5_DB08949_uff_E=630.70,-8.4,6.873,2.232
4NN5_DB08949_uff_E=630.70,-8.4,7.8,2.427
4NN5_DB08973_uff_E=472.54,-8.4,0,0
4NN5_DB00416_uff_E=633.34,-8.3,7.443,3.983
4NN5_DB00416_uff_E=633.34,-8.3,8.538,2.736
4NN5_DB08949_uff_E=630.70,-8.3,8.039,2.582
4NN5_DB08949_uff_E=630.70,-8.3,7.121,2.335
4NN5_DB08949_uff_E=630.70,-8.3,8.738,2.506
4NN5_DB11491_uff_E=287.81,-8.3,0,0
4NN5_DB11586_uff_E=2949.88,-8.3,2.719,1.957
4NN5_DB00197_uff_E=272.83,-8.2,3.586,2.139
4NN5_DB05521_uff_E=1496.35,-8.2,3.298,1.678
4NN5_DB08949_uff_E=630.70,-8.2,7.164,2.66
4NN5_DB08949_uff_E=630.70,-8.2,3.993,2.494
4NN5_DB08949_uff_E=630.70,-8.2,7.761,2.926
4NN5_DB00197_uff_E=272.83,-8.1,7.873,4.864
4NN5_DB00416_uff_E=633.34,-8.1,6.528,2.264
4NN5_DB06786_uff_E=419.69,-8.1,0,0
4NN5_DB08973_uff_E=472.54,-8.1,8.106,5.741
4NN5_DB09335_uff_E=1510.51,-8.1,9.715,4.556
4NN5_DB09335_uff_E=1510.51,-8.1,10.458,3.056
4NN5_DB11586_uff_E=2949.88,-8.1,8.297,2.416
4NN5_DB11586_uff_E=2949.88,-8.1,6.11,2.267
4NN5_DB11586_uff_E=2949.88,-8.1,9.82,3.467
4NN5_DB00197_uff_E=272.83,-8,2.32,1.016
4NN5_DB00342_uff_E=293.78,-8,0,0
4NN5_DB08973_uff_E=472.54,-8,3.656,2.767
4NN5_DB08978_uff_E=469.64,-8,0,0
4NN5_DB09335_uff_E=1510.51,-8,5.227,3.583
4NN5_DB09335_uff_E=1510.51,-8,10.134,4.418
4NN5_DB11586_uff_E=2949.88,-8,9.383,3.608
4NN5_DB00197_uff_E=272.83,-7.9,2.04,1.788
4NN5_DB00685_uff_E=1423.07,-7.9,0,0
4NN5_DB01405_uff_E=380.53,-7.9,2.173,1.525
4NN5_DB05521_uff_E=1496.35,-7.9,3.128,2.144
4NN5_DB06786_uff_E=419.69,-7.9,3.552,2.181
4NN5_DB08973_uff_E=472.54,-7.9,6.93,3.06
4NN5_DB08973_uff_E=472.54,-7.9,7.289,4.376
4NN5_DB08978_uff_E=469.64,-7.9,3.006,2.307
4NN5_DB09015_uff_E=301.05,-7.9,0,0
4NN5_DB09335_uff_E=1510.51,-7.9,9.703,2.466
4NN5_DB09335_uff_E=1510.51,-7.9,9.967,4.323
4NN5_DB11586_uff_E=2949.88,-7.9,6.546,3.665
4NN5_DB00342_uff_E=293.78,-7.8,4.63,2.55
4NN5_DB00685_uff_E=1423.07,-7.8,1.683,1.349
4NN5_DB00685_uff_E=1434.46,-7.8,9.136,5.669
4NN5_DB01405_uff_E=380.53,-7.8,5.278,2.586
4NN5_DB05521_uff_E=1496.35,-7.8,4.634,2.244
4NN5_DB06144_uff_E=619.87,-7.8,0,0
4NN5_DB06786_uff_E=419.69,-7.8,7.078,4.045
4NN5_DB08973_uff_E=472.54,-7.8,7.233,2.676
4NN5_DB08973_uff_E=472.54,-7.8,6.654,3.496
